2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | 🖥️ 사용 디바이스: cuda
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO |    GPU: NVIDIA GeForce RTX 2070 SUPER
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO |    VRAM: 8.0GB
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | ✨ Red Heart AI 통합 추론 시스템 초기화
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | ======================================================================
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | 🚀 시스템 초기화 시작...
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | ======================================================================
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | 📦 지정된 메모리 모드: medium
2025-09-04 09:50:00 | RedHeart.MainUnified | INFO | 📦 UnifiedModel 로드 중...
2025-09-04 09:50:04 | sentence_transformer_singleton | INFO | SentenceTransformerManager 초기화 완료 (Subprocess Server 기반)
2025-09-04 09:50:04 | training.enhanced_checkpoint_manager | INFO |   - 기존 메타데이터 로드: 30개 체크포인트
2025-09-04 09:50:04 | training.enhanced_checkpoint_manager | INFO | ✅ Enhanced CheckpointManager 초기화
2025-09-04 09:50:04 | training.enhanced_checkpoint_manager | INFO |   - 저장 디렉토리: training/checkpoints_final
2025-09-04 09:50:04 | training.enhanced_checkpoint_manager | INFO |   - 최대 체크포인트: 30개
2025-09-04 09:50:04 | training.enhanced_checkpoint_manager | INFO |   - 저장 간격: 1 에폭마다
2025-09-04 09:50:05 | unified_backbone | INFO | 백본 총 파라미터: 90,624,132 (90.62M)
2025-09-04 09:50:05 | unified_backbone | INFO | 학습 가능 파라미터: 90,624,132 (90.62M)
2025-09-04 09:50:05 | unified_heads | INFO | 감정 헤드 파라미터: 17,254,583 (17.25M)
2025-09-04 09:50:05 | unified_heads | INFO | 벤담 헤드 파라미터: 13,871,919 (13.87M)
2025-09-04 09:50:05 | unified_heads | INFO | 후회 헤드 파라미터: 19,897,161 (19.90M)
2025-09-04 09:50:05 | unified_heads | INFO | SURD 헤드 파라미터: 12,025,739 (12.03M)
2025-09-04 09:50:06 | analyzer_neural_modules | INFO | NeuralEmotionAnalyzer 초기화: 122,595,407 파라미터
2025-09-04 09:50:07 | analyzer_neural_modules | INFO | NeuralBenthamCalculator 초기화: 78,281,602 파라미터
2025-09-04 09:50:09 | analyzer_neural_modules | INFO | NeuralRegretAnalyzer 초기화: 153,872,666 파라미터
2025-09-04 09:50:09 | analyzer_neural_modules | INFO | NeuralSURDAnalyzer 초기화: 13,473,032 파라미터
2025-09-04 09:50:09 | analyzer_neural_modules | INFO | 전체 신경망 분석기 파라미터: 368,222,707 (368.2M)
2025-09-04 09:50:09 | emotion_dsp_simulator | INFO | EmotionDSPSimulator 초기화 완료 (~14M 파라미터)
2025-09-04 09:50:09 | RedHeart.MainUnified | INFO |    에폭 50 체크포인트 자동 검색: checkpoint_epoch_0050_lr_0.000009_20250827_154403.pt
2025-09-04 09:50:09 | RedHeart.MainUnified | INFO |    체크포인트 로드: checkpoint_epoch_0050_lr_0.000009_20250827_154403.pt
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO |    ✅ 모델 가중치 로드 완료
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO |    - Epoch: 50
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO |    - Loss: unknown
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO |    📌 MEDIUM 모드: 백본/헤드만 GPU, analyzers는 CPU 유지
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO |    📊 총 파라미터: 532.4M
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO |    📊 학습가능 파라미터: 532.4M
2025-09-04 09:50:38 | RedHeart.MainUnified | INFO | 🌐 번역기 로드 중...
2025-09-04 09:50:38 | local_translator | INFO | LocalTranslator 생성 - 전역 모듈로 초기화됨
